Model,Type,Total sim time,Total Cost per Part,Total Chip Area,Total Memory Latency,Total DDR Latency
mobilenetv2,Type: User-Defined Stack Count: 16 Chip Count: 1 Nbank: 1,0.6110098361968994,5.38165745113184,28.584027815304065,0.003088764,0.00321984125
mobilenetv2,Type: User-Defined Stack Count: 16 Chip Count: 1 Nbank: 5,0.5325345993041992,6.0157779718137085,35.348091474824066,0.002262742,0.00191127875
mobilenetv2,Type: User-Defined Stack Count: 16 Chip Count: 1 Nbank: 9,0.5367834568023682,6.652513650331086,42.11215513434406,0.002172424,0.00176660375
mobilenetv2,Type: User-Defined Stack Count: 16 Chip Count: 1 Nbank: 13,0.6264324188232422,7.289577136027746,48.87621879386408,0.001565294,0.00079573875
mobilenetv2,Type: User-Defined Stack Count: 16 Chip Count: 1 Nbank: 17,0.5381686687469482,7.928062318753502,55.640282453384046,0.001565294,0.00079573875
vitbase,Type: User-Defined Stack Count: 16 Chip Count: 1 Nbank: 1,0.8376705646514893,5.706484019214728,30.410038610159003,0.02047955,0.021808763749999998
vitbase,Type: User-Defined Stack Count: 16 Chip Count: 1 Nbank: 5,0.8218905925750732,6.382010285399518,37.61049347351901,0.0173478,0.016827428749999998
vitbase,Type: User-Defined Stack Count: 16 Chip Count: 1 Nbank: 9,0.837174654006958,7.060082512732858,44.810948336878994,0.0173478,0.016827428749999998
vitbase,Type: User-Defined Stack Count: 16 Chip Count: 1 Nbank: 13,0.787306547164917,7.738429446961927,52.01140320023902,0.016230052000000002,0.015042308749999999
vitbase,Type: User-Defined Stack Count: 16 Chip Count: 1 Nbank: 17,0.8182156085968018,8.418002779357153,59.21185806359898,0.01257683,0.009199078749999999
gpt2,Type: User-Defined Stack Count: 16 Chip Count: 1 Nbank: 1,0.6471736431121826,5.38165745113184,28.584027815304065,0.083959462,0.08959778625
gpt2,Type: User-Defined Stack Count: 16 Chip Count: 1 Nbank: 5,0.6378986835479736,6.0157779718137085,35.348091474824066,0.083954432,0.08958990375
gpt2,Type: User-Defined Stack Count: 16 Chip Count: 1 Nbank: 9,0.6656005382537842,6.652513650331086,42.11215513434406,0.083954432,0.08958990375
gpt2,Type: User-Defined Stack Count: 16 Chip Count: 1 Nbank: 13,0.6326119899749756,7.289577136027746,48.87621879386408,0.083954432,0.08958990375
gpt2,Type: User-Defined Stack Count: 16 Chip Count: 1 Nbank: 17,0.6646173000335693,7.928062318753502,55.640282453384046,0.07675857999999999,0.07810360374999999
resnet50,Type: User-Defined Stack Count: 16 Chip Count: 1 Nbank: 1,0.6185169219970703,5.706484019214728,30.410038610159003,0.00822347,0.00874204125
resnet50,Type: User-Defined Stack Count: 16 Chip Count: 1 Nbank: 5,0.5941474437713623,6.382010285399518,37.61049347351901,0.006523732,0.00602459125
resnet50,Type: User-Defined Stack Count: 16 Chip Count: 1 Nbank: 9,0.593878984451294,7.060082512732858,44.810948336878994,0.006523732,0.00602459125
resnet50,Type: User-Defined Stack Count: 16 Chip Count: 1 Nbank: 13,0.576077938079834,7.738429446961927,52.01140320023902,0.005560354,0.00448121125
resnet50,Type: User-Defined Stack Count: 16 Chip Count: 1 Nbank: 17,0.5683791637420654,8.418002779357153,59.21185806359898,0.005206458000000001,0.00391631125
vgg16,Type: User-Defined Stack Count: 16 Chip Count: 1 Nbank: 1,0.38092660903930664,5.910379853424411,30.314680736659003,0.024828285999999998,0.02650269625
vgg16,Type: User-Defined Stack Count: 16 Chip Count: 1 Nbank: 5,0.374204158782959,6.586405477662676,37.51513560001901,0.024745956,0.02637117125
vgg16,Type: User-Defined Stack Count: 16 Chip Count: 1 Nbank: 9,0.37023305892944336,7.264710718625794,44.715590463378994,0.024716464,0.02632426375
vgg16,Type: User-Defined Stack Count: 16 Chip Count: 1 Nbank: 13,0.35831165313720703,7.945200732101145,51.916045326739024,0.024475620000000003,0.02593841875
vgg16,Type: User-Defined Stack Count: 16 Chip Count: 1 Nbank: 17,0.3511664867401123,8.624812982419723,59.11650019009898,0.024357654,0.02575011875
gemma1b,Type: User-Defined Stack Count: 16 Chip Count: 1 Nbank: 1,1.2364366054534912,5.706484019214728,30.410038610159003,0.170526924,0.18180181375
gemma1b,Type: User-Defined Stack Count: 16 Chip Count: 1 Nbank: 5,1.2733068466186523,6.382010285399518,37.61049347351901,0.167189504,0.17648897375000003
gemma1b,Type: User-Defined Stack Count: 16 Chip Count: 1 Nbank: 9,1.2371797561645508,7.060082512732858,44.810948336878994,0.165655962,0.17404978375000002
gemma1b,Type: User-Defined Stack Count: 16 Chip Count: 1 Nbank: 13,1.2369320392608643,7.738429446961927,52.01140320023902,0.165655962,0.17404978375000002
gemma1b,Type: User-Defined Stack Count: 16 Chip Count: 1 Nbank: 17,1.2353887557983398,8.418002779357153,59.21185806359898,0.165655962,0.17404978375000002
llama,Type: User-Defined Stack Count: 16 Chip Count: 1 Nbank: 1,1.0333056449890137,5.706484019214728,30.410038610159003,0.195079976,0.20824509875
llama,Type: User-Defined Stack Count: 16 Chip Count: 1 Nbank: 5,0.9796712398529053,6.382010285399518,37.61049347351901,0.194889922,0.20794748624999998
llama,Type: User-Defined Stack Count: 16 Chip Count: 1 Nbank: 9,0.9990744590759277,7.060082512732858,44.810948336878994,0.19279277,0.20460628625
llama,Type: User-Defined Stack Count: 16 Chip Count: 1 Nbank: 13,0.9935758113861084,7.738429446961927,52.01140320023902,0.19090533399999998,0.20158633625
llama,Type: User-Defined Stack Count: 16 Chip Count: 1 Nbank: 17,0.9660027027130127,8.418002779357153,59.21185806359898,0.19090533399999998,0.20158633625
qwen0.6b,Type: User-Defined Stack Count: 16 Chip Count: 1 Nbank: 1,1.2527644634246826,5.706484019214728,30.410038610159003,0.10505133800000002,0.1120733275
qwen0.6b,Type: User-Defined Stack Count: 16 Chip Count: 1 Nbank: 5,1.2916407585144043,6.382010285399518,37.61049347351901,0.102115326,0.1073956475
qwen0.6b,Type: User-Defined Stack Count: 16 Chip Count: 1 Nbank: 9,1.2730553150177002,7.060082512732858,44.810948336878994,0.099913316,0.1038873875
qwen0.6b,Type: User-Defined Stack Count: 16 Chip Count: 1 Nbank: 13,1.2596712112426758,7.738429446961927,52.01140320023902,0.09657098,0.09856235
qwen0.6b,Type: User-Defined Stack Count: 16 Chip Count: 1 Nbank: 17,1.3102121353149414,8.418002779357153,59.21185806359898,0.09657098,0.09856235
